Title,Extracted Content,city
粤菜,丹桂轩(华侨城店),深圳
粤菜,小煵记·深圳本地菜(南新店),深圳
粤菜,翠华餐厅(宝安机场一店),深圳
粤菜,隐厨·中国菜馆(卓悦中心店),深圳
粤菜,大鸽饭(大仟里店),深圳
粤菜,小炳胜(卓悦中心店),深圳
粤菜,豪林居·潮汕菜·海鲜打冷(八卦一路店),深圳
粤菜,炳胜品味(深圳湾万象城店),深圳
粤菜,点都德(优城店),深圳
粤菜,翠园(益田假日广场店),深圳
粤菜,金翠皇宫粤菜·点心·海鲜(翡翠店),深圳
粤菜,花园里餐厅·粤湘菜·团建聚餐,深圳
粤菜,纳瓦新疆音乐餐厅(龙华店),深圳
粤菜,小炳胜(海岸城店),深圳
粤菜,陶陶居酒家(卓悦中心店),深圳
粤菜,悦满楼·西关名点·湛江名菜(航空综合大厦店),深圳
粤菜,利宝阁(嘉里店),深圳
粤菜,点都德(A8店),深圳
粤菜,露两手顺德菜(龙华店),深圳
粤菜,观海(南山深湾店),深圳
粤菜,饭聚私厨顺德菜(侨城坊店),深圳
粤菜,利宝阁(宝安壹方中心店),深圳
粤菜,点都德(大中华店),深圳
粤菜,金牌陶陶居(万象天地店),深圳
粤菜,陶陶居酒家(海雅缤纷城店),深圳
粤菜,唐宫(万象天地店),深圳
粤菜,至正潮菜(华侨城店),深圳
粤菜,维园港式茶餐厅(横岗红棉店),深圳
粤菜,台山佬黄鳝饭(水围店),深圳
粤菜,靠山·客家菜(卓悦中心店),深圳
粤菜,炳胜品味(卓悦中心店),深圳
粤菜,普语堂·臻品客家菜(华侨城创意文化园店),深圳
粤菜,陶陶居酒家(海岸城店),深圳
粤菜,极浦亭花园餐厅(福田理想城店),深圳
粤菜,蘩楼(南山信和广场店),深圳
粤菜,誉八仙茶室(万象天地店),深圳
粤菜,匠传(上梅林店),深圳
粤菜,翠园·粤菜·宴会(中航城君尚购物中心店),深圳
粤菜,潮香四海·家传潮汕菜(南山店),深圳
粤菜,唐宫(东门店),深圳
粤菜,巡味顺德菜(欢乐海岸购物中心店),深圳
粤菜,匠传(沙嘴店),深圳
粤菜,蘩楼(华强北店),深圳
粤菜,79号渔船海鲜饭店(西丽店),深圳
粤菜,先记烧鹅王·深圳本地粤菜(福永总店),深圳
自助餐,御品海宴海鲜自助餐厅(龙岗万科广场店),深圳
自助餐,龙华希尔顿逸林酒店·開全日制餐厅·蒸汽海鲜·牛扒刺...,深圳
自助餐,深圳佳兆业万豪酒店-金沙全日餐,深圳
自助餐,大渔铁板烧(佳宁娜店),深圳
自助餐,大阪烧肉BAKA一代·自助放题(龙岗店),深圳
自助餐,豪派特华美达广场酒店·西餐,深圳
自助餐,大渔铁板烧(AT Mall店),深圳
自助餐,浅锅日式和牛小锅放题(海岸城店),深圳
自助餐,深圳东海朗廷酒店秀·Silk自助餐,深圳
自助餐,深圳凯宾斯基酒店 · 四季餐厅(海岸城店),深圳
自助餐,君悦酒店·乐厨·高空自助餐,深圳
自助餐,隐秀山居酒店·秀厨融合西餐,深圳
自助餐,深圳四季酒店·馥自助餐,深圳
自助餐,百合酒店-香榭里自助餐,深圳
自助餐,韩鲜生·韩式自助烤肉火锅(海雅缤纷城店),深圳
自助餐,井格重庆火锅(购物公园店),深圳
自助餐,拉蒂娜·巴西牛排馆 Latina·Brazilian Steakhouse(海...,深圳
自助餐,牛匠屋日式炭火烧肉  自助放题(南山店),深圳
自助餐,大渔铁板烧(卓悦汇店),深圳
自助餐,中洲万豪酒店·南山尚膳自助餐,深圳
自助餐,德胜轩正宗顺德菜(宝安沙井会展中心店),深圳
自助餐,Café Chinois海鲜自助西餐厅(金茂深圳JW万豪酒店),深圳
自助餐,Fresh领鲜海鲜自助餐,深圳
自助餐,汉阳廷自助烤肉(龙华大润发店),深圳
自助餐,浅锅日式和牛小锅放题(卓悦中心店),深圳
自助餐,大桥日本料理·日式放题·铁板定食(科兴科学园店),深圳
自助餐,丽思卡尔顿酒店-FLAVORZ全日制餐厅(福华三路店),深圳
自助餐,旬野菜·寿喜烧放题(卓悦intown店),深圳
